"","row_id","Sales","date","country","store","product"
"1",70128,584,2021-01-01,"Belgium","KaggleMart","Advanced Techniques"
"2",70129,463,2021-01-01,"Belgium","KaggleMart","Getting Started"
"3",70130,407,2021-01-01,"Belgium","KaggleMart","Recipe Book"
"4",70131,605,2021-01-01,"Belgium","KaggleMart","For Kids: One Smart Goose"
"5",70132,209,2021-01-01,"Belgium","KaggleRama","Advanced Techniques"
"6",70133,170,2021-01-01,"Belgium","KaggleRama","Getting Started"
"7",70134,139,2021-01-01,"Belgium","KaggleRama","Recipe Book"
"8",70135,222,2021-01-01,"Belgium","KaggleRama","For Kids: One Smart Goose"
"9",70136,669,2021-01-01,"France","KaggleMart","Advanced Techniques"
"10",70137,484,2021-01-01,"France","KaggleMart","Getting Started"
"11",70138,433,2021-01-01,"France","KaggleMart","Recipe Book"
"12",70139,710,2021-01-01,"France","KaggleMart","For Kids: One Smart Goose"
"13",70140,224,2021-01-01,"France","KaggleRama","Advanced Techniques"
"14",70141,173,2021-01-01,"France","KaggleRama","Getting Started"
"15",70142,142,2021-01-01,"France","KaggleRama","Recipe Book"
"16",70143,234,2021-01-01,"France","KaggleRama","For Kids: One Smart Goose"
"17",70144,600,2021-01-01,"Germany","KaggleMart","Advanced Techniques"
"18",70145,496,2021-01-01,"Germany","KaggleMart","Getting Started"
"19",70146,414,2021-01-01,"Germany","KaggleMart","Recipe Book"
"20",70147,680,2021-01-01,"Germany","KaggleMart","For Kids: One Smart Goose"
"21",70148,214,2021-01-01,"Germany","KaggleRama","Advanced Techniques"
"22",70149,172,2021-01-01,"Germany","KaggleRama","Getting Started"
"23",70150,137,2021-01-01,"Germany","KaggleRama","Recipe Book"
"24",70151,224,2021-01-01,"Germany","KaggleRama","For Kids: One Smart Goose"
"25",70152,756,2021-01-01,"Italy","KaggleMart","Advanced Techniques"
"26",70153,606,2021-01-01,"Italy","KaggleMart","Getting Started"
"27",70154,546,2021-01-01,"Italy","KaggleMart","Recipe Book"
"28",70155,855,2021-01-01,"Italy","KaggleMart","For Kids: One Smart Goose"
"29",70156,263,2021-01-01,"Italy","KaggleRama","Advanced Techniques"
"30",70157,205,2021-01-01,"Italy","KaggleRama","Getting Started"
"31",70158,183,2021-01-01,"Italy","KaggleRama","Recipe Book"
"32",70159,287,2021-01-01,"Italy","KaggleRama","For Kids: One Smart Goose"
"33",70160,933,2021-01-01,"Poland","KaggleMart","Advanced Techniques"
"34",70161,712,2021-01-01,"Poland","KaggleMart","Getting Started"
"35",70162,676,2021-01-01,"Poland","KaggleMart","Recipe Book"
