"","date","country","Sales"
"1",2017-01-01,"Belgium",415
"2",2017-01-01,"France",367
"3",2017-01-01,"Germany",430
"4",2017-01-01,"Italy",304
"5",2017-01-01,"Poland",134
"6",2017-01-01,"Spain",269
"7",2017-01-02,"Belgium",316
"8",2017-01-02,"France",273
"9",2017-01-02,"Germany",322
"10",2017-01-02,"Italy",231
"11",2017-01-02,"Poland",100
"12",2017-01-02,"Spain",206
"13",2017-01-03,"Belgium",304
"14",2017-01-03,"France",255
"15",2017-01-03,"Germany",306
"16",2017-01-03,"Italy",206
"17",2017-01-03,"Poland",97
"18",2017-01-03,"Spain",191
"19",2017-01-04,"Belgium",288
"20",2017-01-04,"France",257
"21",2017-01-04,"Germany",285
"22",2017-01-04,"Italy",203
"23",2017-01-04,"Poland",90
"24",2017-01-04,"Spain",183
"25",2017-01-05,"Belgium",264
"26",2017-01-05,"France",237
"27",2017-01-05,"Germany",278
"28",2017-01-05,"Italy",196
"29",2017-01-05,"Poland",83
"30",2017-01-05,"Spain",166
"31",2017-01-06,"Belgium",258
"32",2017-01-06,"France",236
"33",2017-01-06,"Germany",277
"34",2017-01-06,"Italy",200
"35",2017-01-06,"Poland",86
"36",2017-01-06,"Spain",178
"37",2017-01-07,"Belgium",283
"38",2017-01-07,"France",242
"39",2017-01-07,"Germany",275
"40",2017-01-07,"Italy",209
"41",2017-01-07,"Poland",90
"42",2017-01-07,"Spain",186
"43",2017-01-08,"Belgium",275
"44",2017-01-08,"France",246
"45",2017-01-08,"Germany",280
"46",2017-01-08,"Italy",214
"47",2017-01-08,"Poland",91
"48",2017-01-08,"Spain",189
"49",2017-01-09,"Belgium",214
"50",2017-01-09,"France",192
"51",2017-01-09,"Germany",228
"52",2017-01-09,"Italy",181
"53",2017-01-09,"Poland",76
"54",2017-01-09,"Spain",156
"55",2017-01-10,"Belgium",223
"56",2017-01-10,"France",185
"57",2017-01-10,"Germany",215
"58",2017-01-10,"Italy",182
"59",2017-01-10,"Poland",77
"60",2017-01-10,"Spain",158
"61",2017-01-11,"Belgium",213
"62",2017-01-11,"France",183
"63",2017-01-11,"Germany",215
"64",2017-01-11,"Italy",180
"65",2017-01-11,"Poland",75
"66",2017-01-11,"Spain",159
"67",2017-01-12,"Belgium",222
"68",2017-01-12,"France",193
"69",2017-01-12,"Germany",210
"70",2017-01-12,"Italy",174
"71",2017-01-12,"Poland",76
"72",2017-01-12,"Spain",153
"73",2017-01-13,"Belgium",224
"74",2017-01-13,"France",199
"75",2017-01-13,"Germany",235
"76",2017-01-13,"Italy",176
"77",2017-01-13,"Poland",76
"78",2017-01-13,"Spain",152
"79",2017-01-14,"Belgium",235
"80",2017-01-14,"France",226
"81",2017-01-14,"Germany",257
"82",2017-01-14,"Italy",188
"83",2017-01-14,"Poland",79
"84",2017-01-14,"Spain",163
"85",2017-01-15,"Belgium",258
"86",2017-01-15,"France",230
"87",2017-01-15,"Germany",264
"88",2017-01-15,"Italy",188
"89",2017-01-15,"Poland",82
"90",2017-01-15,"Spain",174
"91",2017-01-16,"Belgium",216
"92",2017-01-16,"France",187
"93",2017-01-16,"Germany",222
"94",2017-01-16,"Italy",162
"95",2017-01-16,"Poland",68
"96",2017-01-16,"Spain",136
"97",2017-01-17,"Belgium",216
"98",2017-01-17,"France",187
"99",2017-01-17,"Germany",210
"100",2017-01-17,"Italy",158
"101",2017-01-17,"Poland",66
"102",2017-01-17,"Spain",141
"103",2017-01-18,"Belgium",215
"104",2017-01-18,"France",194
"105",2017-01-18,"Germany",215
"106",2017-01-18,"Italy",162
"107",2017-01-18,"Poland",69
"108",2017-01-18,"Spain",141
"109",2017-01-19,"Belgium",218
"110",2017-01-19,"France",184
"111",2017-01-19,"Germany",223
"112",2017-01-19,"Italy",160
"113",2017-01-19,"Poland",69
"114",2017-01-19,"Spain",134
"115",2017-01-20,"Belgium",224
"116",2017-01-20,"France",200
"117",2017-01-20,"Germany",234
"118",2017-01-20,"Italy",161
"119",2017-01-20,"Poland",72
"120",2017-01-20,"Spain",139
"121",2017-01-21,"Belgium",250
"122",2017-01-21,"France",223
"123",2017-01-21,"Germany",256
"124",2017-01-21,"Italy",180
"125",2017-01-21,"Poland",78
"126",2017-01-21,"Spain",157
"127",2017-01-22,"Belgium",254
"128",2017-01-22,"France",226
"129",2017-01-22,"Germany",262
"130",2017-01-22,"Italy",181
"131",2017-01-22,"Poland",80
"132",2017-01-22,"Spain",164
"133",2017-01-23,"Belgium",215
"134",2017-01-23,"France",197
"135",2017-01-23,"Germany",212
"136",2017-01-23,"Italy",156
"137",2017-01-23,"Poland",69
"138",2017-01-23,"Spain",138
"139",2017-01-24,"Belgium",218
"140",2017-01-24,"France",184
"141",2017-01-24,"Germany",219
"142",2017-01-24,"Italy",164
"143",2017-01-24,"Poland",65
"144",2017-01-24,"Spain",141
"145",2017-01-25,"Belgium",212
"146",2017-01-25,"France",191
"147",2017-01-25,"Germany",223
