"","date","product","Sales"
"1",2017-01-01,"Advanced Techniques",356
"2",2017-01-01,"For Kids: One Smart Goose",391
"3",2017-01-01,"Getting Started",291
"4",2017-01-01,"Recipe Book",242
"5",2017-01-02,"Advanced Techniques",270
"6",2017-01-02,"For Kids: One Smart Goose",302
"7",2017-01-02,"Getting Started",216
"8",2017-01-02,"Recipe Book",177
"9",2017-01-03,"Advanced Techniques",264
"10",2017-01-03,"For Kids: One Smart Goose",269
"11",2017-01-03,"Getting Started",205
"12",2017-01-03,"Recipe Book",168
"13",2017-01-04,"Advanced Techniques",246
"14",2017-01-04,"For Kids: One Smart Goose",262
"15",2017-01-04,"Getting Started",196
"16",2017-01-04,"Recipe Book",166
"17",2017-01-05,"Advanced Techniques",231
"18",2017-01-05,"For Kids: One Smart Goose",250
"19",2017-01-05,"Getting Started",186
"20",2017-01-05,"Recipe Book",149
"21",2017-01-06,"Advanced Techniques",239
"22",2017-01-06,"For Kids: One Smart Goose",251
"23",2017-01-06,"Getting Started",178
"24",2017-01-06,"Recipe Book",155
"25",2017-01-07,"Advanced Techniques",244
"26",2017-01-07,"For Kids: One Smart Goose",258
"27",2017-01-07,"Getting Started",189
"28",2017-01-07,"Recipe Book",166
"29",2017-01-08,"Advanced Techniques",242
"30",2017-01-08,"For Kids: One Smart Goose",266
"31",2017-01-08,"Getting Started",189
"32",2017-01-08,"Recipe Book",166
"33",2017-01-09,"Advanced Techniques",202
"34",2017-01-09,"For Kids: One Smart Goose",209
"35",2017-01-09,"Getting Started",158
"36",2017-01-09,"Recipe Book",128
"37",2017-01-10,"Advanced Techniques",198
"38",2017-01-10,"For Kids: One Smart Goose",210
"39",2017-01-10,"Getting Started",154
"40",2017-01-10,"Recipe Book",130
"41",2017-01-11,"Advanced Techniques",203
"42",2017-01-11,"For Kids: One Smart Goose",206
"43",2017-01-11,"Getting Started",149
"44",2017-01-11,"Recipe Book",125
"45",2017-01-12,"Advanced Techniques",199
"46",2017-01-12,"For Kids: One Smart Goose",206
"47",2017-01-12,"Getting Started",150
"48",2017-01-12,"Recipe Book",130
"49",2017-01-13,"Advanced Techniques",204
"50",2017-01-13,"For Kids: One Smart Goose",217
"51",2017-01-13,"Getting Started",158
"52",2017-01-13,"Recipe Book",130
"53",2017-01-14,"Advanced Techniques",224
"54",2017-01-14,"For Kids: One Smart Goose",227
"55",2017-01-14,"Getting Started",164
"56",2017-01-14,"Recipe Book",150
"57",2017-01-15,"Advanced Techniques",236
"58",2017-01-15,"For Kids: One Smart Goose",241
"59",2017-01-15,"Getting Started",169
"60",2017-01-15,"Recipe Book",151
"61",2017-01-16,"Advanced Techniques",194
"62",2017-01-16,"For Kids: One Smart Goose",198
"63",2017-01-16,"Getting Started",146
"64",2017-01-16,"Recipe Book",124
"65",2017-01-17,"Advanced Techniques",192
"66",2017-01-17,"For Kids: One Smart Goose",197
"67",2017-01-17,"Getting Started",140
"68",2017-01-17,"Recipe Book",123
"69",2017-01-18,"Advanced Techniques",200
"70",2017-01-18,"For Kids: One Smart Goose",195
"71",2017-01-18,"Getting Started",142
"72",2017-01-18,"Recipe Book",126
"73",2017-01-19,"Advanced Techniques",198
"74",2017-01-19,"For Kids: One Smart Goose",197
"75",2017-01-19,"Getting Started",144
"76",2017-01-19,"Recipe Book",119
"77",2017-01-20,"Advanced Techniques",209
"78",2017-01-20,"For Kids: One Smart Goose",202
"79",2017-01-20,"Getting Started",148
"80",2017-01-20,"Recipe Book",129
"81",2017-01-21,"Advanced Techniques",236
"82",2017-01-21,"For Kids: One Smart Goose",230
"83",2017-01-21,"Getting Started",158
"84",2017-01-21,"Recipe Book",139
"85",2017-01-22,"Advanced Techniques",237
"86",2017-01-22,"For Kids: One Smart Goose",229
"87",2017-01-22,"Getting Started",167
"88",2017-01-22,"Recipe Book",145
"89",2017-01-23,"Advanced Techniques",205
"90",2017-01-23,"For Kids: One Smart Goose",196
"91",2017-01-23,"Getting Started",139
"92",2017-01-23,"Recipe Book",118
"93",2017-01-24,"Advanced Techniques",201
"94",2017-01-24,"For Kids: One Smart Goose",194
"95",2017-01-24,"Getting Started",142
"96",2017-01-24,"Recipe Book",124
"97",2017-01-25,"Advanced Techniques",202
"98",2017-01-25,"For Kids: One Smart Goose",197
"99",2017-01-25,"Getting Started",139
"100",2017-01-25,"Recipe Book",122
"101",2017-01-26,"Advanced Techniques",195
"102",2017-01-26,"For Kids: One Smart Goose",200
"103",2017-01-26,"Getting Started",134
"104",2017-01-26,"Recipe Book",124
"105",2017-01-27,"Advanced Techniques",216
"106",2017-01-27,"For Kids: One Smart Goose",208
"107",2017-01-27,"Getting Started",146
"108",2017-01-27,"Recipe Book",129
"109",2017-01-28,"Advanced Techniques",231
"110",2017-01-28,"For Kids: One Smart Goose",223
"111",2017-01-28,"Getting Started",156
"112",2017-01-28,"Recipe Book",144
